client_id;metadata_date_conversation;metadata_duration;metadata_language;identite_genre;identite_age;identite_statut_relationnel;identite_profession;localisation_europe;mobilite_rythme_vie_frequence_deplacement;lifestyle_centres_interet_sport_individuel;lifestyle_centres_interet_art_culture;style_personnel_couleurs_preferees;style_personnel_matieres_preferees;style_personnel_pieces_favorites;projet_achat_motif;projet_achat_budget;reseau_influence_influence;suivi_action;suivi_echeance;suivi_canal_contact;metadata_client_regime_alimentaire;metadata_client_allergies;lifestyle_centres_interet_voyage;localisation_moyen_orient_asie;localisation_amerique;lifestyle_centres_interet_sport_collectif;metadata_profile_version;identite_langue_parlee;identite_profession_secteur_tech_digital;lifestyle_centres_interet_sport_individuel_endurance;lifestyle_centres_interet_voyage_experience;style_personnel_couleurs_preferees_neutres_intemporelles;style_personnel_couleurs_preferees_metalliques;style_personnel_matieres_preferees_naturelles;style_personnel_matieres_preferees_alternatives;style_personnel_pieces_favorites_sacs;projet_achat_motif_role_offrir;preferences_contraintes_regime;preferences_contraintes_valeurs;identite_profession_secteur_entrepreneur_dirigeant;identite_profession_secteur_cadre_manager;identite_profession_secteur_mode_luxe;style_personnel_couleurs_preferees_tons_chauds;style_personnel_pieces_favorites_chaussures;style_personnel_pieces_favorites_accessoires;identite_profession_secteur_profession_liberale;identite_profession_secteur_art_creation;lifestyle_centres_interet_sport_individuel_bien_etre;lifestyle_centres_interet_sport_individuel_outdoor;style_personnel_couleurs_preferees_tons_froids;identite_profession_secteur_medias_communication;identite_profession_secteur_finance_investissement;lifestyle_centres_interet_musique_electronique;lifestyle_centres_interet_musique_classique_elegant;identite_profession_secteur_autres;projet_achat_motif_role_pour_soi;projet_achat_marques_preferees_louis_vuitton;identite_profession_secteur_sport;lifestyle_centres_interet_sport_individuel_raquette;lifestyle_centres_interet_musique_moderne_populaire
CA_090;2026-03-11;45 min;Espagnol;Femme;;VIP;Entrepreneur;;Mobile;Running;Art;Noir;;;Mariage;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_091;2026-03-12;25 min;Français;Femme;36-45;Nouveau;;;Mobile;;;Noir;Cuir;;Mariage;<5k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_092;2026-03-12;50 min;Anglais;Femme;;VIP;;London;Mobile;;Musees, Art;Noir, Cognac, Rose_gold, Bordeaux, Navy;;;Mariage;25k+;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Culturel;;New_York;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_093;2026-03-13;30 min;Allemand;Femme;46-55;Nouveau;;;Mobile;;;;;;Mariage;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_094;2026-03-13;35 min;Italien;Femme;46-55;Fidèle;Profession_libérale;Milan;Mobile;;;Rose_gold, Noir, Cognac;Cuir;;Diplome;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_095;2026-03-16;45 min;Français;Femme;46-55;VIP;;;Mobile;;Art;Noir, Gris, Beige, Navy;;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;;Tokyo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_096;2026-03-16;30 min;Espagnol;Femme;36-45;Fidèle;;;Mobile;;;Cognac;;;Anniversaire;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_097;2026-03-17;40 min;Anglais;Femme;;Fidèle;Profession_libérale;;Mobile;Fitness, Running;Opera, Art;Bordeaux, Noir, Navy;;;;10-15k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_098;2026-03-17;50 min;Allemand;Femme;;Fidèle;Profession_libérale;Berlin;Mobile;;Opera, Art;Noir, Cognac, Rose_gold, Bordeaux, Navy;;;Mariage;15-25k;;Rappeler;M+1;Email;;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_099;2026-03-18;25 min;Français;Homme;56+;Régulier;;;Mobile;;;Bordeaux;Cuir;;Cadeau;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_100;2026-03-18;55 min;Anglais;Femme;;VIP;Cadre;;Mobile;;Musees, Art;Bordeaux, Noir, Navy;;;Mariage;25k+;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_101;2026-01-21;28 min;Français;Femme;36-45;Fidèle;;;;;;;;;;;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Natation;Culturel;Marine, Noir;Or;Cuir;Matières vegan;Sac à main;Anniversaire;Vegetarien;;;;;;;;;;;;;;;;;;;;;;
CA_102;2026-01-21;42 min;Anglais;Femme;;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Aventure;;Or;;Matières vegan;;Cadeau;Vegane;Exclusivité;;;;;;;;;;;;;;;;;;;;;
CA_103;2026-01-22;33 min;Espagnol;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige;Or;;;;Cadeau;Vegetarien;;;;Styliste;Cognac;;;;;;;;;;;;;;;;;
CA_104;2026-01-22;25 min;Italien;Homme;36-45;Fidèle;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;Tokyo, Singapore;;;2.0;Français;Ingénieur;;;;Or;Lin;;;Cadeau;Aucun;Exclusivité;;;Styliste;;Baskets / Sneakers;;;;;;;;;;;;;;;;
CA_105;2026-01-23;48 min;Allemand;Femme;;Fidèle;;Berlin;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;;Or;Lin;;;;Aucun;;;;;;;;;;;;;;;;;;;;;;
CA_106;2026-01-23;30 min;Français;Femme;26-35;VIP;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Aventure, Luxe;;Or;Lin;Matières vegan;;;Vegane;Qualité & savoir-faire, Éthique / durable;;;Styliste;Rouge;;Montres;;;;;;;;;;;;;;;
CA_107;2026-01-24;35 min;Anglais;Femme;;VIP;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;New York;;2.0;Français;Ingénieur;;;;Or;;;Sac à main;;Pescetarien;;;;;Rouge;;;Architecte;Artiste;;;;;;;;;;;;;
CA_108;2026-01-24;40 min;Italien;Femme;46-55;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige;Or;Cuir;;;;Vegetarien;Exclusivité;;;;Cognac;;;;;;;;;;;;;;;;;
CA_109;2026-01-27;32 min;Espagnol;Femme;36-45;Régulier;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;Dubai;;;2.0;Français;Ingénieur;;;Marine;Or;;Matières vegan;;Cadeau;Vegane;;;;Styliste;Rouge;;;;;Yoga;;;;;;;;;;;;
CA_110;2026-01-27;45 min;Allemand;Femme;26-35;Nouveau;;Berlin;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;;;Lin;Matières vegan;;;Vegane;;;;Styliste;;;;;;Yoga;;;;;;;;;;;;
CA_111;2026-01-27;28 min;Français;Femme;56+;VIP;;;;;;;;;;;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel;Beige;Or;Cuir;;Sac à main;Anniversaire;Vegetarien;;;;;Cognac;;;Architecte;;;Ski;Vert;;;;;;;;;;
CA_112;2026-01-28;50 min;Anglais;Femme;;VIP;;Paris, London;;;;;;;;25k+;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Luxe;;Or;;;Sac à main;Cadeau;Aucun;;;;;;;;;;;;;;;;;;;;;;
CA_113;2026-01-28;35 min;Italien;Femme;46-55;Fidèle;;Milan;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;;Marine, Blanc, Noir;Or;;;;;Aucun;Exclusivité;;;Styliste;;;;Architecte;;;;;Marketing;;;;;;;;;
CA_114;2026-01-29;38 min;Espagnol;Femme;46-55;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;Beige;Or;;;;Cadeau;Aucun;;;;Styliste;Cognac, Rouge;;;;;;;;;;;;;;;;;
CA_115;2026-01-29;42 min;Allemand;Femme;;Nouveau;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;New York;;2.0;Français;Ingénieur;;;;Or;;;;;Aucun;;;;;;;;;;Yoga;;;;;;;;;;;;
CA_116;2026-01-30;30 min;Français;Femme;36-45;Fidèle;;;;;;;;;;<5k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Noir;Or;Cuir;;Sac à main;;Vegetarien;;;;;Rouge, Cognac;;Montres;;;;;;Marketing;;;;;;;;;
CA_117;2026-01-30;48 min;Anglais;Femme;26-35;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;;Or;;;;Cadeau;Vegetarien;Exclusivité;;;;;;;Architecte;;;;;;;;;;;;;;
CA_118;2026-01-31;33 min;Italien;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Noir;Or;Lin;;;Cadeau;Aucun;Exclusivité;;;Styliste;Cognac;;;;;;;;;;;;;;;;;
CA_119;2026-01-31;36 min;Espagnol;Femme;46-55;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;Hong Kong;;;2.0;Français;Ingénieur;;;;Or;;Matières vegan;;;Vegane;;;;;Rouge;;;;Artiste;;;;;;;;;;;;;
CA_120;2026-02-03;40 min;Allemand;Femme;;Régulier;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Aventure, Luxe;Beige, Noir;Or;;;;;Aucun;;;;Styliste;;;;;;;;;;Banquier;;;;;;;;
CA_121;2026-02-03;26 min;Français;Femme;26-35;VIP;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Noir, Marine;Argent, Or;Cuir;Matières vegan;Sac à main;Cadeau, Mariage;Vegane;Éthique / durable;;;Styliste;Rouge;;Montres;Avocat;Artiste;Yoga;;;;;;;;;;;;
CA_122;2026-02-04;44 min;Anglais;Femme;;VIP;;London;;;;;;;;25k+;;Rappeler;M+1;Email;;;;;New York;;2.0;Français;Ingénieur;;Luxe;Beige;Or;Cuir;;;Cadeau;Pescetarien;Exclusivité;;;;Cognac, Rouge;;;;;;;;;Banquier;Electro;;;;;;;
CA_123;2026-02-04;31 min;Italien;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Marine;Or;Lin;;;;Vegetarien;;;;;;;;Architecte;;;;;;;;;;;;;;
CA_124;2026-02-05;37 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;;Or;;Matières vegan;;;Vegane;;;;;Rouge;;;;;Yoga;;;;;;;;;;;;
CA_125;2026-02-05;29 min;Allemand;Femme;;Nouveau;;Paris, London;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;New York;;2.0;Français;Ingénieur;Running;;;Or;;;;;Aucun;Exclusivité;;;Styliste;Rouge;;;;;Yoga;;;;;;;;;;;;
CA_126;2026-02-06;46 min;Français;Femme;56+;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel, Luxe;Beige, Noir;Or;Cuir;Matières vegan;;Diplome, Mariage, Cadeau, Anniversaire;Pescetarien;Qualité & savoir-faire;;;Styliste;Rouge, Cognac;;Montres;Avocat, Médecin, Architecte;;;;;;;;Classique;;;;;;
CA_127;2026-02-06;34 min;Anglais;Femme;;Nouveau;;;;;;;;;;<5k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige;Or;;Matières vegan;;Cadeau;Aucun;Éthique / durable;;;;;;Montres;;Artiste;Yoga;;;;;;;;;;;;
CA_128;2026-02-07;41 min;Italien;Femme;46-55;Occasionnel;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Noir;Or;;;;;Aucun;;;;Styliste;Bordeaux;;;Avocat;;;;;;;;;;;;;;
CA_129;2026-02-07;28 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;Beige;Or;;Matières vegan;;;Vegane;Éthique / durable;;;Styliste;Rouge;;;;;;;Vert;;;;;;;;;;
CA_130;2026-02-10;43 min;Allemand;Femme;;Nouveau;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;;;;Beige, Marine, Noir;Or;Lin;;;;Aucun;Exclusivité;;;;;;;;;;;;;;;;;;;;;
CA_131;2026-02-10;35 min;Français;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;;Or;;;;;Vegane;Exclusivité, Éthique / durable;;;Styliste;Rouge;;Montres;;Artiste;;;;;;;;;Plaisir personnel;;;;
CA_132;2026-02-11;39 min;Anglais;Femme;;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Gris, Noir, Marine;Or;Cuir;;;Cadeau, Anniversaire;Pescetarien;Exclusivité;;;Styliste;Rouge;;Montres;Architecte;Artiste;;;;;Banquier;;;;;;;;
CA_133;2026-02-11;32 min;Italien;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;Beige;Or;Lin;;;;Vegetarien;Exclusivité;;;;Bordeaux, Cognac;;;;Artiste;Yoga;;;;;;;;;;;;
CA_134;2026-02-12;47 min;Espagnol;Femme;56+;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige;Or;;;;Cadeau;Aucun;;;;;Cognac;;;;;;;;;;;;;;;;;
CA_135;2026-02-12;30 min;Allemand;Femme;;Nouveau;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;Tokyo;;;2.0;Français;Ingénieur;;;;;;Matières vegan;;;Vegane;;;;Styliste;;;;;;;;;;;Electro;;;;;;;
CA_136;2026-02-13;36 min;Français;Femme;46-55;Fidèle;;;;;;;;;;;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel;Marine, Noir;Or;Cuir, Lin;;Sac à main;Mariage, Anniversaire;Pescetarien;Qualité & savoir-faire;;;;Rouge;;Montres;Médecin;;;Ski;;;;;Classique;;;;Athlète;;
CA_137;2026-02-13;44 min;Anglais;Femme;;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;;;Or;;;;Cadeau, Anniversaire;Aucun;;;;;;;Montres;;;;;;Marketing;;;;;;;;;
CA_138;2026-02-14;31 min;Italien;Femme;46-55;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Noir;Or;;;;Cadeau;Aucun;;;;Styliste;;;;;Artiste;;;;;;;;;;;;;
CA_139;2026-02-14;38 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;Beige;Or;;Matières vegan;;;Vegane;Éthique / durable;;;;Rouge;;;;;;;;;;;;;;;;;
CA_140;2026-02-17;42 min;Allemand;Femme;18-25;Fidèle;;Berlin;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Noir;Or;Lin;;;;Aucun;Exclusivité;;;Styliste;;;;;;;;;;;;;;;;;;
CA_141;2026-02-17;29 min;Français;Femme;36-45;VIP;;;;;;;;;;;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;;Beige, Blanc;Or;Cuir, Lin;;Sac à main;;Pescetarien;Qualité & savoir-faire;;;Styliste;Rouge, Cognac;;Montres;;;;;;;;;;;;;;;
CA_142;2026-02-18;45 min;Anglais;Femme;;VIP;;;;;;;;;;25k+;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Aventure, Luxe;Beige, Noir;Or;Cuir;;;Cadeau;Pescetarien;;;;;Rouge, Cognac;;;;;;;;;Banquier;;;;;;;;
CA_143;2026-02-18;33 min;Italien;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Marine;Or;;;;;Vegetarien;Exclusivité;;;;;;;Avocat, Médecin;;Yoga;;;;;;;;;;;;
CA_144;2026-02-19;37 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;;Or;;Matières vegan;;;Vegane;;;;Styliste;Rouge;;;;Artiste;;;;;;;;;;;;;
CA_145;2026-02-19;40 min;Allemand;Femme;;Nouveau;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;;Marine, Noir;Or;Lin;;;;Aucun;;;;;;;;;;;;;;;;;;;;;;
CA_146;2026-02-20;34 min;Français;Femme;36-45;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Natation;Détente, Luxe;;Or;;;;Cadeau, Plaisir;Vegetarien;;;;Styliste;Rouge;;Montres;;Artiste;;;;;;;;;;;;;
CA_147;2026-02-20;48 min;Anglais;Femme;;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel;Beige;Or;Cuir;Matières vegan;;Cadeau;Vegetarien;Exclusivité, Éthique / durable;;;;Cognac, Rouge;;Montres;Avocat;;;;;;;;;;;;;;
CA_148;2026-02-21;36 min;Italien;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Noir;Or;;;;;Aucun;Exclusivité;;;;Cognac;;;Architecte;;;Golf;;;;;;;;;;;
CA_149;2026-02-21;32 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;;Or;;;;;Vegetarien;;;;;Rouge;;;;;;;;;;;;;;;;;
CA_150;2026-02-24;46 min;Allemand;Femme;;Fidèle;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;;;;Beige, Noir;Or;;;;;Aucun;;;;Styliste;;;;;;;;;;;;;;;;;;
CA_151;2026-02-24;27 min;Français;Femme;26-35;Fidèle;;;;;;;;;;<5k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Noir, Marine;Argent, Or;Cuir;;Sac à main;;Vegetarien;Exclusivité;;;;Rouge;;;Avocat;;;;;;Banquier;;;;Plaisir personnel;;;;
CA_152;2026-02-25;41 min;Anglais;Femme;;VIP;;Berlin;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Luxe;;Or;Lin;Matières vegan;;;Vegane;;;;;;;Montres;;Artiste;Yoga;;;Marketing;;;;;;;;;
CA_153;2026-02-25;35 min;Italien;Femme;46-55;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel;;Or;Lin;;;;Aucun;;;;;;;;;Artiste;;;;;;;;;;;;;
CA_154;2026-02-26;32 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;;Or;;Matières vegan;;;Vegane;;;;Styliste;Rouge;;;;;;;;;Banquier;;;;;;;;
CA_155;2026-02-26;38 min;Allemand;Femme;;Régulier;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Marine;Or;;;;;Aucun;;;;;Bordeaux;;;;;Yoga;;;;;;;;;;;;
CA_156;2026-02-27;29 min;Français;Homme;36-45;Nouveau;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel;;Or;;;Sac à main;Cadeau, Mariage;Vegetarien;Qualité & savoir-faire;;;Styliste;Rouge;;Montres;;;;;;;;;;;;;;;
CA_157;2026-02-27;44 min;Anglais;Femme;;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel, Détente, Luxe;Beige, Noir;Or;Cuir;;;Cadeau;Pescetarien;Exclusivité;;;;Cognac;;Montres;Avocat, Médecin, Architecte;;;;;;;;;;;;;;
CA_158;2026-02-28;30 min;Italien;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Marine, Noir;Or;;;Sac à main;;Aucun;Exclusivité;;;;;;;;;;;;;;;;;;;;Tennis;
CA_159;2026-02-28;36 min;Espagnol;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Gris;Argent, Or;;;;;Vegetarien;;;;;Rouge;;;;Artiste;;;;;;;;;;;;;
CA_160;2026-03-03;42 min;Allemand;Femme;;Fidèle;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Marine, Noir;Or;Lin;;;;Aucun;;;;;;;;;;;;;;;;;;;;;;
CA_161;2026-03-03;28 min;Français;Femme;36-45;VIP;;;;;;;;;;;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;;;Or;Cuir;;Sac à main;;Pescetarien;;;;;Bordeaux, Cognac, Rouge;;Montres;;;;;;;;;;;;;;;
CA_162;2026-03-04;46 min;Anglais;Femme;;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige;Or;Cuir;;;Cadeau, Anniversaire;Vegetarien;Exclusivité;;;;Cognac, Rouge;;;Avocat, Architecte;;;;;;;Electro;;;;;;;
CA_163;2026-03-04;33 min;Italien;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;;Or;Lin;Matières vegan;;;Vegane;Exclusivité;;;;;;;Médecin;;Yoga;;;;;;;;;;;;
CA_164;2026-03-05;37 min;Espagnol;Femme;46-55;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Marine;Or;;;;Cadeau;Vegetarien;;;;;Rouge;;;;;;;;;;;;;;;;;
CA_165;2026-03-05;40 min;Allemand;Femme;;Nouveau;;Paris, London;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;New York;;2.0;Français;Ingénieur;Running;;;Or;Lin;;;;Aucun;Exclusivité;;;Styliste;Rouge;;;;;;;;;;;;;;;;;
CA_166;2026-03-06;31 min;Français;Femme;26-35;Nouveau;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Culturel;Beige;Or;Cuir;;Sac à main;;Vegetarien;Qualité & savoir-faire;;;;Cognac;;Montres;Architecte;;;;;;;;Classique;;Plaisir personnel;;;;
CA_167;2026-03-06;45 min;Anglais;Femme;;VIP;;;;;;;;;;25k+;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Aventure, Luxe;Beige, Noir, Blanc;Or;Cuir;;;Cadeau;Pescetarien;Exclusivité;;;;Rouge, Cognac;;Montres;;;;;;Marketing;Banquier;;;;;;;;
CA_168;2026-03-07;34 min;Italien;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Marine, Noir;Or;;;;;Vegetarien;;;;;Cognac;;;;;;;;;;;;;;;;;
CA_169;2026-03-07;39 min;Espagnol;Femme;36-45;VIP;;;;;;;;;;10–15k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;;Or;;Matières vegan;Sac à main;Cadeau;Vegane;;;;;Rouge;;;;Artiste;Yoga;;;;;;;;;;;;
CA_170;2026-03-10;43 min;Allemand;Femme;;Régulier;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;;;;Beige, Noir;Or;;;;;Aucun;;;;Styliste;;;;;;;;;;;;;;;;;;
CA_171;2026-03-10;29 min;Français;Femme;36-45;Fidèle;;;;;;;;;;;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;Détente;Gris, Noir;Or;Cuir;Matières vegan;Sac à main;;Vegane;Éthique / durable;;;Styliste;;;Montres;Architecte;;;;;;;;;;;;;;
CA_172;2026-03-11;47 min;Anglais;Femme;18-25;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Noir;Or;Cuir;Matières vegan;;Cadeau;Pescetarien;Exclusivité, Éthique / durable;;;;Cognac;;Montres;Médecin;;;;;;Banquier;;;;;;;;
CA_173;2026-03-11;32 min;Italien;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige;Or;;;;;Vegetarien;;;;;Cognac;;;;;Yoga;;;;;;;;;;;;
CA_174;2026-03-12;36 min;Espagnol;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Marine;Or;;;;;Aucun;;;;;Rouge;;;;;;;;;;;;;;;;;
CA_175;2026-03-12;41 min;Allemand;Femme;;VIP;;London;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Beige, Noir;Or;;;;;Aucun;;;;;;;;;;;;Vert;;;;;;;;;;
CA_176;2026-03-13;30 min;Français;Femme;36-45;VIP;;Milan;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;Tokyo;New York;;2.0;Français;Ingénieur;;;Noir;Or;Cuir;;Sac à main;;Pescetarien;;;;Styliste;Cognac;;Montres;;Artiste;;;;;;;;;;;;;
CA_177;2026-03-13;44 min;Anglais;Femme;;VIP;;;;;;;;;;15–25k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;Détente;Beige, Gris, Noir;Or;;;;Cadeau;Aucun;;;;Styliste;;Baskets / Sneakers;Montres;;;;;;;Banquier;;;;;;;;
CA_178;2026-03-14;33 min;Italien;Femme;46-55;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;;;Marine, Noir;Or;Lin;;;;Aucun;Exclusivité;;;;Cognac;;;Médecin;;;Golf;;;;;;;;;;;
CA_179;2026-03-14;38 min;Espagnol;Femme;36-45;Fidèle;;;;;;;;;;5–10k;;Rappeler;M+1;Email;;;;;;;2.0;Français;Ingénieur;Running;;Gris, Marine;Or;;;;;Vegetarien;;;;Styliste;Rouge;;;;;;;;;;;;;;;;;
